timestamp,tracker,status,std_x,std_y
2025-06-26 11:11:47,Inconnu,Trop peu de données,4.24,6.12
2025-06-26 11:11:47,Inconnu,Trop peu de données,4.47,6.55
2025-06-26 11:11:47,Inconnu,Trop peu de données,4.57,6.95
2025-06-26 11:11:47,Inconnu,Trop peu de données,4.69,7.21
2025-06-26 11:11:47,Inconnu,Concentre,4.61,7.45
2025-06-26 11:11:47,Inconnu,Concentre,4.58,7.67
2025-06-26 11:11:47,Inconnu,Concentre,4.43,7.99
2025-06-26 11:11:47,Inconnu,Concentre,4.34,8.23
2025-06-26 11:11:47,Inconnu,Concentre,4.07,8.62
2025-06-26 11:11:47,Inconnu,Concentre,3.89,9.17
2025-06-26 11:11:47,Inconnu,Concentre,3.68,9.85
2025-06-26 11:11:47,Inconnu,Concentre,3.45,10.64
2025-06-26 11:11:47,Inconnu,Concentre,3.24,11.54
2025-06-26 11:11:47,Inconnu,Concentre,3.24,12.34
2025-06-26 11:11:47,Inconnu,Concentre,3.33,13.36
2025-06-26 11:11:47,Inconnu,Concentre,3.33,14.35
2025-06-26 11:11:47,Inconnu,Concentre,3.53,15.60
2025-06-26 11:11:47,Inconnu,Concentre,3.96,16.85
2025-06-26 11:11:47,Inconnu,Distrait,4.57,18.08
2025-06-26 11:11:47,Inconnu,Distrait,4.93,18.99
2025-06-26 11:11:48,Inconnu,Distrait,5.55,19.76
2025-06-26 11:11:48,Inconnu,Distrait,6.09,20.36
2025-06-26 11:11:48,Inconnu,Distrait,6.53,20.89
2025-06-26 11:11:48,Inconnu,Distrait,6.92,21.42
2025-06-26 11:11:48,Inconnu,Distrait,7.24,21.74
2025-06-26 11:11:48,Inconnu,Distrait,7.50,21.88
2025-06-26 11:11:48,Inconnu,Distrait,7.72,21.93
2025-06-26 11:11:52,zeinaaab,Trop peu de données,1.64,3.20
2025-06-26 11:11:52,zeinaaab,Trop peu de données,1.64,3.34
2025-06-26 11:11:52,zeinaaab,Trop peu de données,1.69,3.42
2025-06-26 11:11:52,zeinaaab,Trop peu de données,1.69,3.69
2025-06-26 11:11:52,zeinaaab,Concentre,1.74,3.94
2025-06-26 11:11:52,zeinaaab,Concentre,1.74,4.10
2025-06-26 11:11:52,zeinaaab,Concentre,1.78,4.28
2025-06-26 11:11:52,zeinaaab,Concentre,1.78,4.36
2025-06-26 11:11:52,zeinaaab,Concentre,1.82,4.40
2025-06-26 11:11:52,zeinaaab,Concentre,1.82,4.49
2025-06-26 11:11:52,zeinaaab,Concentre,1.86,4.46
2025-06-26 11:11:52,zeinaaab,Concentre,1.90,4.43
2025-06-26 11:11:52,zeinaaab,Concentre,1.93,4.25
2025-06-26 11:11:52,zeinaaab,Concentre,1.96,4.24
2025-06-26 11:11:52,zeinaaab,Concentre,1.96,4.09
2025-06-26 11:11:52,zeinaaab,Concentre,1.98,4.02
2025-06-26 11:11:52,zeinaaab,Concentre,1.94,3.78
2025-06-26 11:11:52,zeinaaab,Concentre,1.78,3.64
2025-06-26 11:11:52,zeinaaab,Concentre,1.72,3.45
2025-06-26 11:11:52,zeinaaab,Concentre,1.67,3.22
2025-06-26 11:11:52,zeinaaab,Concentre,1.60,2.94
2025-06-26 11:11:52,zeinaaab,Concentre,1.53,2.58
2025-06-26 11:11:53,zeinaaab,Concentre,1.44,2.33
2025-06-26 11:11:53,zeinaaab,Concentre,1.33,2.20
2025-06-26 11:11:53,zeinaaab,Concentre,1.22,1.84
2025-06-26 11:11:53,zeinaaab,Concentre,1.07,1.61
2025-06-26 11:11:53,zeinaaab,Concentre,0.92,1.31
2025-06-26 11:11:53,zeinaaab,Concentre,0.88,1.17
2025-06-26 11:11:53,zeinaaab,Concentre,0.92,1.15
2025-06-26 11:11:53,zeinaaab,Concentre,0.88,0.95
2025-06-26 11:11:53,zeinaaab,Concentre,0.92,0.91
2025-06-26 11:11:53,zeinaaab,Concentre,0.92,0.85
2025-06-26 11:11:53,zeinaaab,Concentre,0.94,0.79
2025-06-26 11:11:53,zeinaaab,Concentre,0.94,0.79
2025-06-26 11:11:53,zeinaaab,Concentre,0.96,0.79
2025-06-26 11:11:53,zeinaaab,Concentre,0.96,0.79
2025-06-26 11:11:53,zeinaaab,Concentre,0.98,0.79
2025-06-26 11:11:53,zeinaaab,Concentre,0.98,0.79
2025-06-26 11:11:53,zeinaaab,Concentre,0.99,0.79
2025-06-26 11:11:53,zeinaaab,Concentre,0.99,0.79
2025-06-26 11:11:53,zeinaaab,Concentre,1.00,0.79
2025-06-26 11:11:53,zeinaaab,Concentre,1.00,0.72
2025-06-26 11:11:53,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:11:53,zeinaaab,Concentre,1.00,0.36
2025-06-26 11:11:53,zeinaaab,Concentre,1.00,0.36
2025-06-26 11:11:53,zeinaaab,Concentre,1.00,0.50
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.50
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.60
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.60
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.68
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.68
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.75
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.75
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.80
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.80
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.85
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.85
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.88
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.88
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.92
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.92
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.94
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.94
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.96
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.96
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.98
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.98
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.99
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,0.99
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:54,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,0.99
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,0.99
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,1.00
2025-06-26 11:11:55,zeinaaab,Concentre,1.00,0.99
